id_code,experiment,plate,well,sirna,well_type,target_id
HEPG2-01_1_K07,HEPG2-01,1,K07,sirna_997,,1136
HEPG2-01_1_K08,HEPG2-01,1,K08,sirna_462,,543
HEPG2-01_1_K09,HEPG2-01,1,K09,sirna_298,,360
HEPG2-01_1_K10,HEPG2-01,1,K10,sirna_693,,799
HEPG2-01_1_K11,HEPG2-01,1,K11,sirna_880,,1007
HEPG2-01_1_K12,HEPG2-01,1,K12,sirna_1135,,154
HEPG2-01_1_K13,HEPG2-01,1,K13,sirna_215,,269
HEPG2-01_1_K14,HEPG2-01,1,K14,sirna_959,,1094
HEPG2-01_1_K15,HEPG2-01,1,K15,sirna_51,,596
HEPG2-01_1_K16,HEPG2-01,1,K16,sirna_226,,281
HEPG2-01_1_K17,HEPG2-01,1,K17,sirna_444,,523
HEPG2-01_1_K18,HEPG2-01,1,K18,sirna_735,,846
HEPG2-01_1_K19,HEPG2-01,1,K19,sirna_419,,495
HEPG2-01_1_K20,HEPG2-01,1,K20,sirna_33,,396
HEPG2-01_1_K21,HEPG2-01,1,K21,sirna_465,,546
HEPG2-01_1_K22,HEPG2-01,1,K22,sirna_767,,881
HEPG2-01_1_K23,HEPG2-01,1,K23,sirna_263,,322
HEPG2-01_1_L02,HEPG2-01,1,L02,sirna_1047,,56
HEPG2-01_1_L03,HEPG2-01,1,L03,sirna_355,,424
HEPG2-01_1_L04,HEPG2-01,1,L04,sirna_1062,,73
HEPG2-01_1_L05,HEPG2-01,1,L05,sirna_1066,,77
HEPG2-01_1_L06,HEPG2-01,1,L06,sirna_1127,,145
HEPG2-01_1_L07,HEPG2-01,1,L07,sirna_1004,,9
HEPG2-01_1_L08,HEPG2-01,1,L08,sirna_733,,844
HEPG2-01_1_L09,HEPG2-01,1,L09,sirna_136,,181
HEPG2-01_1_L10,HEPG2-01,1,L10,sirna_917,,1048
HEPG2-01_1_L11,HEPG2-01,1,L11,sirna_606,,703
HEPG2-01_1_L12,HEPG2-01,1,L12,sirna_814,,934
HEPG2-01_1_L13,HEPG2-01,1,L13,sirna_659,,761
HEPG2-01_1_L14,HEPG2-01,1,L14,sirna_924,,1056
HEPG2-01_1_L15,HEPG2-01,1,L15,sirna_870,,996
HEPG2-01_1_L16,HEPG2-01,1,L16,sirna_1030,,38
HEPG2-01_1_L17,HEPG2-01,1,L17,sirna_15,,196
HEPG2-01_1_L18,HEPG2-01,1,L18,sirna_1021,,28
HEPG2-01_1_L19,HEPG2-01,1,L19,sirna_488,,571
HEPG2-01_1_L20,HEPG2-01,1,L20,sirna_536,,625
HEPG2-01_1_L21,HEPG2-01,1,L21,sirna_1098,,112
HEPG2-01_1_L22,HEPG2-01,1,L22,sirna_251,,309
HEPG2-01_1_L23,HEPG2-01,1,L23,sirna_241,,298
HEPG2-01_1_M02,HEPG2-01,1,M02,sirna_631,,731
HEPG2-01_1_M04,HEPG2-01,1,M04,sirna_58,,673
HEPG2-01_1_M05,HEPG2-01,1,M05,sirna_311,,376
HEPG2-01_1_M06,HEPG2-01,1,M06,sirna_1137,,156
HEPG2-01_1_M08,HEPG2-01,1,M08,sirna_983,,1121
HEPG2-01_1_M09,HEPG2-01,1,M09,sirna_1102,,118
HEPG2-01_1_M10,HEPG2-01,1,M10,sirna_449,,528
HEPG2-01_1_M12,HEPG2-01,1,M12,sirna_872,,998
HEPG2-01_1_M13,HEPG2-01,1,M13,sirna_1109,,125
HEPG2-01_1_M14,HEPG2-01,1,M14,sirna_527,,615
HEPG2-01_1_M16,HEPG2-01,1,M16,sirna_1019,,25
HEPG2-01_1_M17,HEPG2-01,1,M17,sirna_428,,505
HEPG2-01_1_M18,HEPG2-01,1,M18,sirna_854,,978
HEPG2-01_1_M20,HEPG2-01,1,M20,sirna_118,,161
HEPG2-01_1_M21,HEPG2-01,1,M21,sirna_427,,504
HEPG2-01_1_M23,HEPG2-01,1,M23,sirna_647,,748
HEPG2-01_1_N02,HEPG2-01,1,N02,sirna_910,,1041
HEPG2-01_1_N03,HEPG2-01,1,N03,sirna_1111,,128
HEPG2-01_1_N04,HEPG2-01,1,N04,sirna_728,,838
HEPG2-01_1_N05,HEPG2-01,1,N05,sirna_670,,774
HEPG2-01_1_N06,HEPG2-01,1,N06,sirna_550,,641
HEPG2-01_1_N07,HEPG2-01,1,N07,sirna_99,,1128
HEPG2-01_1_N08,HEPG2-01,1,N08,sirna_907,,1037
HEPG2-01_1_N09,HEPG2-01,1,N09,sirna_749,,861
HEPG2-01_1_N10,HEPG2-01,1,N10,sirna_63,,729
HEPG2-01_1_N11,HEPG2-01,1,N11,sirna_13,,174
HEPG2-01_1_N12,HEPG2-01,1,N12,sirna_213,,267
HEPG2-01_1_N13,HEPG2-01,1,N13,sirna_895,,1023
HEPG2-01_1_N14,HEPG2-01,1,N14,sirna_1112,,129
HEPG2-01_1_N15,HEPG2-01,1,N15,sirna_757,,870
HEPG2-01_1_N16,HEPG2-01,1,N16,sirna_39,,462
HEPG2-01_1_N17,HEPG2-01,1,N17,sirna_953,,1088
HEPG2-01_1_N18,HEPG2-01,1,N18,sirna_865,,990
HEPG2-01_1_N19,HEPG2-01,1,N19,sirna_292,,354
HEPG2-01_1_N20,HEPG2-01,1,N20,sirna_851,,975
HEPG2-01_1_N21,HEPG2-01,1,N21,sirna_846,,969
HEPG2-01_1_N22,HEPG2-01,1,N22,sirna_312,,377
HEPG2-01_1_N23,HEPG2-01,1,N23,sirna_95,,1084
HEPG2-01_1_O02,HEPG2-01,1,O02,sirna_1078,,90
HEPG2-01_1_O03,HEPG2-01,1,O03,sirna_494,,578
HEPG2-01_1_O04,HEPG2-01,1,O04,sirna_948,,1082
HEPG2-01_1_O05,HEPG2-01,1,O05,sirna_695,,801
HEPG2-01_1_O06,HEPG2-01,1,O06,sirna_624,,723
HEPG2-01_1_O07,HEPG2-01,1,O07,sirna_1035,,43
HEPG2-01_1_O08,HEPG2-01,1,O08,sirna_593,,688
HEPG2-01_1_O09,HEPG2-01,1,O09,sirna_483,,566
HEPG2-01_1_O10,HEPG2-01,1,O10,sirna_668,,771
HEPG2-01_1_O11,HEPG2-01,1,O11,sirna_367,,437
HEPG2-01_1_O12,HEPG2-01,1,O12,sirna_217,,271
HEPG2-01_1_O13,HEPG2-01,1,O13,sirna_981,,1119
HEPG2-01_1_O14,HEPG2-01,1,O14,sirna_837,,959
HEPG2-01_1_O15,HEPG2-01,1,O15,sirna_327,,393
HEPG2-01_1_O16,HEPG2-01,1,O16,sirna_475,,557
HEPG2-01_1_O17,HEPG2-01,1,O17,sirna_183,,233
HEPG2-01_1_O19,HEPG2-01,1,O19,sirna_861,,986
HEPG2-01_1_O20,HEPG2-01,1,O20,sirna_607,,704
HEPG2-01_1_O21,HEPG2-01,1,O21,sirna_134,,179
HEPG2-01_1_O22,HEPG2-01,1,O22,sirna_799,,916
HEPG2-01_1_O23,HEPG2-01,1,O23,sirna_403,,478
HEPG2-01_2_B03,HEPG2-01,2,B03,sirna_154,,201
HEPG2-01_2_B04,HEPG2-01,2,B04,sirna_57,,662
HEPG2-01_2_B05,HEPG2-01,2,B05,sirna_776,,891
HEPG2-01_2_B06,HEPG2-01,2,B06,sirna_124,,168
HEPG2-01_2_B07,HEPG2-01,2,B07,sirna_558,,649
HEPG2-01_2_B08,HEPG2-01,2,B08,sirna_479,,561
HEPG2-01_2_B09,HEPG2-01,2,B09,sirna_399,,472
HEPG2-01_2_B10,HEPG2-01,2,B10,sirna_867,,992
HEPG2-01_2_B11,HEPG2-01,2,B11,sirna_1089,,102
HEPG2-01_2_B12,HEPG2-01,2,B12,sirna_774,,889
HEPG2-01_2_B13,HEPG2-01,2,B13,sirna_138,,183
HEPG2-01_2_B14,HEPG2-01,2,B14,sirna_381,,453
HEPG2-01_2_B15,HEPG2-01,2,B15,sirna_56,,651
HEPG2-01_2_B16,HEPG2-01,2,B16,sirna_1064,,75
HEPG2-01_2_B17,HEPG2-01,2,B17,sirna_196,,247
HEPG2-01_2_B18,HEPG2-01,2,B18,sirna_106,,70
HEPG2-01_2_B19,HEPG2-01,2,B19,sirna_1082,,95
HEPG2-01_2_B20,HEPG2-01,2,B20,sirna_326,,392
HEPG2-01_2_B21,HEPG2-01,2,B21,sirna_469,,550
HEPG2-01_2_B22,HEPG2-01,2,B22,sirna_308,,372
HEPG2-01_2_B23,HEPG2-01,2,B23,sirna_103,,37
HEPG2-01_2_C02,HEPG2-01,2,C02,sirna_512,,599
HEPG2-01_2_C04,HEPG2-01,2,C04,sirna_77,,884
HEPG2-01_2_C05,HEPG2-01,2,C05,sirna_939,,1072
HEPG2-01_2_C06,HEPG2-01,2,C06,sirna_157,,204
HEPG2-01_2_C08,HEPG2-01,2,C08,sirna_195,,246
HEPG2-01_2_C09,HEPG2-01,2,C09,sirna_899,,1027
HEPG2-01_2_C10,HEPG2-01,2,C10,sirna_393,,466
HEPG2-01_2_C12,HEPG2-01,2,C12,sirna_55,,640
HEPG2-01_2_C13,HEPG2-01,2,C13,sirna_156,,203
HEPG2-01_2_C14,HEPG2-01,2,C14,sirna_992,,1131
HEPG2-01_2_C16,HEPG2-01,2,C16,sirna_406,,481
HEPG2-01_2_C17,HEPG2-01,2,C17,sirna_409,,484
HEPG2-01_2_C18,HEPG2-01,2,C18,sirna_669,,772
HEPG2-01_2_C20,HEPG2-01,2,C20,sirna_1117,,134
HEPG2-01_2_C21,HEPG2-01,2,C21,sirna_1076,,88
HEPG2-01_2_C23,HEPG2-01,2,C23,sirna_123,,167
HEPG2-01_2_D02,HEPG2-01,2,D02,sirna_712,,821
HEPG2-01_2_D03,HEPG2-01,2,D03,sirna_302,,366
HEPG2-01_2_D04,HEPG2-01,2,D04,sirna_666,,769
HEPG2-01_2_D05,HEPG2-01,2,D05,sirna_319,,384
HEPG2-01_2_D06,HEPG2-01,2,D06,sirna_54,,629
HEPG2-01_2_D07,HEPG2-01,2,D07,sirna_641,,742
HEPG2-01_2_D08,HEPG2-01,2,D08,sirna_679,,783
HEPG2-01_2_D09,HEPG2-01,2,D09,sirna_34,,407
HEPG2-01_2_D10,HEPG2-01,2,D10,sirna_255,,313
HEPG2-01_2_D11,HEPG2-01,2,D11,sirna_1083,,96
HEPG2-01_2_D12,HEPG2-01,2,D12,sirna_1073,,85
HEPG2-01_2_D13,HEPG2-01,2,D13,sirna_49,,573
HEPG2-01_2_D14,HEPG2-01,2,D14,sirna_490,,574
HEPG2-01_2_D15,HEPG2-01,2,D15,sirna_645,,746
HEPG2-01_2_D16,HEPG2-01,2,D16,sirna_725,,835
HEPG2-01_2_D17,HEPG2-01,2,D17,sirna_231,,287
HEPG2-01_2_D18,HEPG2-01,2,D18,sirna_676,,780
HEPG2-01_2_D19,HEPG2-01,2,D19,sirna_362,,432
HEPG2-01_2_D20,HEPG2-01,2,D20,sirna_164,,212
HEPG2-01_2_D21,HEPG2-01,2,D21,sirna_1005,,10
HEPG2-01_2_D22,HEPG2-01,2,D22,sirna_350,,419
HEPG2-01_2_D23,HEPG2-01,2,D23,sirna_404,,479
HEPG2-01_2_E02,HEPG2-01,2,E02,sirna_972,,1109
HEPG2-01_2_E03,HEPG2-01,2,E03,sirna_547,,637
HEPG2-01_2_E04,HEPG2-01,2,E04,sirna_966,,1102
HEPG2-01_2_E05,HEPG2-01,2,E05,sirna_758,,871
HEPG2-01_2_E06,HEPG2-01,2,E06,sirna_884,,1011
HEPG2-01_2_E07,HEPG2-01,2,E07,sirna_208,,261
HEPG2-01_2_E08,HEPG2-01,2,E08,sirna_1020,,27
HEPG2-01_2_E09,HEPG2-01,2,E09,sirna_14,,185
HEPG2-01_2_E10,HEPG2-01,2,E10,sirna_970,,1107
HEPG2-01_2_E11,HEPG2-01,2,E11,sirna_100,,4
HEPG2-01_2_E12,HEPG2-01,2,E12,sirna_149,,195
HEPG2-01_2_E13,HEPG2-01,2,E13,sirna_820,,941
HEPG2-01_2_E14,HEPG2-01,2,E14,sirna_485,,568
HEPG2-01_2_E15,HEPG2-01,2,E15,sirna_554,,645
HEPG2-01_2_E16,HEPG2-01,2,E16,sirna_623,,722
HEPG2-01_2_E17,HEPG2-01,2,E17,sirna_573,,666
HEPG2-01_2_E18,HEPG2-01,2,E18,sirna_569,,661
HEPG2-01_2_E19,HEPG2-01,2,E19,sirna_72,,829
HEPG2-01_2_E20,HEPG2-01,2,E20,sirna_436,,514
HEPG2-01_2_E21,HEPG2-01,2,E21,sirna_281,,342
HEPG2-01_2_E22,HEPG2-01,2,E22,sirna_866,,991
HEPG2-01_2_E23,HEPG2-01,2,E23,sirna_1105,,121
HEPG2-01_2_F02,HEPG2-01,2,F02,sirna_665,,768
HEPG2-01_2_F04,HEPG2-01,2,F04,sirna_626,,725
HEPG2-01_2_F05,HEPG2-01,2,F05,sirna_192,,243
HEPG2-01_2_F06,HEPG2-01,2,F06,sirna_356,,425
HEPG2-01_2_F08,HEPG2-01,2,F08,sirna_199,,250
HEPG2-01_2_F09,HEPG2-01,2,F09,sirna_619,,717
HEPG2-01_2_F10,HEPG2-01,2,F10,sirna_655,,757
HEPG2-01_2_F12,HEPG2-01,2,F12,sirna_67,,773
HEPG2-01_2_F13,HEPG2-01,2,F13,sirna_835,,957
HEPG2-01_2_F14,HEPG2-01,2,F14,sirna_721,,831
HEPG2-01_2_F16,HEPG2-01,2,F16,sirna_357,,426
HEPG2-01_2_F17,HEPG2-01,2,F17,sirna_823,,944
HEPG2-01_2_F18,HEPG2-01,2,F18,sirna_450,,530
HEPG2-01_2_F20,HEPG2-01,2,F20,sirna_778,,893
HEPG2-01_2_F21,HEPG2-01,2,F21,sirna_466,,547
HEPG2-01_2_F23,HEPG2-01,2,F23,sirna_230,,286
HEPG2-01_2_G02,HEPG2-01,2,G02,sirna_1045,,54
HEPG2-01_2_G03,HEPG2-01,2,G03,sirna_38,,451
HEPG2-01_2_G04,HEPG2-01,2,G04,sirna_73,,840
HEPG2-01_2_G05,HEPG2-01,2,G05,sirna_1133,,152
HEPG2-01_2_G06,HEPG2-01,2,G06,sirna_748,,860
HEPG2-01_2_G07,HEPG2-01,2,G07,sirna_107,,81
HEPG2-01_2_G08,HEPG2-01,2,G08,sirna_752,,865
HEPG2-01_2_G09,HEPG2-01,2,G09,sirna_340,,408
HEPG2-01_2_G10,HEPG2-01,2,G10,sirna_64,,740
HEPG2-01_2_G11,HEPG2-01,2,G11,sirna_317,,382
HEPG2-01_2_G12,HEPG2-01,2,G12,sirna_634,,734
HEPG2-01_2_G13,HEPG2-01,2,G13,sirna_875,,1001
HEPG2-01_2_G14,HEPG2-01,2,G14,sirna_886,,1013
HEPG2-01_2_G15,HEPG2-01,2,G15,sirna_276,,336
HEPG2-01_2_G16,HEPG2-01,2,G16,sirna_662,,765
HEPG2-01_2_G17,HEPG2-01,2,G17,sirna_1125,,143
HEPG2-01_2_G18,HEPG2-01,2,G18,sirna_413,,489
HEPG2-01_2_G19,HEPG2-01,2,G19,sirna_249,,306
HEPG2-01_2_G20,HEPG2-01,2,G20,sirna_780,,896
HEPG2-01_2_G21,HEPG2-01,2,G21,sirna_7,,806
HEPG2-01_2_G22,HEPG2-01,2,G22,sirna_763,,877
HEPG2-01_2_G23,HEPG2-01,2,G23,sirna_204,,257
